id,surname,first_name,age,sex,marital_status,occupation,borough,birthplace,household_id,annual_wage_cents
1,Conti,Boris,28,M,single,servant,Bronx,New York,1,17589
2,Conti,David,25,M,widowed,milliner,Bronx,New York,1,37953
3,Conti,Angela,75,F,single,shopkeeper,Bronx,New York,1,78430
4,Conti,Mary,19,F,single,clerk,Bronx,New York,1,41162
5,Miller,Greta,67,F,single,stevedore,Brooklyn,Massachusetts,2,32077
6,Miller,Heinrich,41,M,widowed,washerwoman,Brooklyn,Massachusetts,2,25654
7,Miller,Teresa,3,F,single,none,Brooklyn,Massachusetts,2,36893
8,Miller,Friedrich,56,M,married,butcher,Brooklyn,Massachusetts,2,39480
9,Miller,Karl,10,M,single,none,Brooklyn,Massachusetts,2,29195
10,Goldberg,Giovanni,3,M,single,none,Brooklyn,Germany,3,34711
11,Goldberg,Otto,45,M,single,stevedore,Brooklyn,Germany,3,48193
12,Goldberg,Boris,7,M,single,none,Brooklyn,Germany,3,29975
13,Goldberg,Teresa,31,F,widowed,typesetter,Brooklyn,Germany,3,41662
14,Goldberg,Sarah,25,F,single,shopkeeper,Brooklyn,Germany,3,76693
15,Johnson,Isaac,56,M,single,grocer,Manhattan,New York,4,43792
16,Johnson,Luigi,10,M,single,none,Manhattan,New York,4,30035
17,Johnson,Greta,64,F,married,laborer,Manhattan,New York,4,34689
18,Johnson,Daniel,63,M,single,machinist,Manhattan,New York,4,44854
19,Johnson,Anna,40,F,married,engineer,Manhattan,New York,4,103885
20,Kelly,Wilhelm,29,M,married,butcher,Queens,New Jersey,5,36085
21,Kelly,Ellen,22,F,divorced,teacher,Queens,New Jersey,5,68704
22,Kelly,Zofia,73,F,single,washerwoman,Queens,New Jersey,5,33592
23,Kelly,John,40,M,single,typesetter,Queens,New Jersey,5,46044
24,Kelly,Karl,6,M,single,none,Queens,New Jersey,5,30542
25,Ferrari,Elizabeth,26,F,married,washerwoman,Manhattan,Ireland,6,33848
26,Ferrari,Margaret,12,F,single,none,Manhattan,Ireland,6,27678
27,Conti,Wilhelm,48,M,widowed,bookkeeper,Manhattan,New York,7,62213
28,Conti,Abraham,38,M,married,merchant,Manhattan,New York,7,122474
29,Conti,David,11,M,single,none,Manhattan,New York,7,37232
30,Conti,Marta,6,F,single,none,Manhattan,New York,7,27698
31,Conti,Joseph,0,M,single,none,Manhattan,New York,7,32607
32,Sullivan,Zofia,45,F,widowed,stevedore,Manhattan,New York,8,35364
33,Sullivan,Samuel,0,M,single,none,Manhattan,New York,8,32649
34,Sullivan,Mary,36,F,single,machinist,Manhattan,New York,8,61589
35,Becker,Rachel,22,F,single,none,Manhattan,New York,9,30212
36,Becker,Jacob,73,M,widowed,tailor,Manhattan,New York,9,44873
37,Becker,Ellen,12,F,single,none,Manhattan,New York,9,37197
38,Becker,Otto,1,M,single,none,Manhattan,New York,9,31506
39,Becker,Wilhelm,59,M,widowed,shopkeeper,Manhattan,New York,9,80350
